"1,000kg"	数値表現-寸法表現-重量
シティカードジャパン	名前-組織名-企業名
シティーハンター	名前-製品名-芸術名-文学名
シデバラ	名前-人名
シトクロームP450	名前-自然物名-生物名-生物名_その他
シトシン	名前-自然物名-物質名
シドン	名前-地名-GPE-市区町村名
シナゴーグ	名前-施設名-GOE-神社寺名
シニサ・ミハイロビッチ	名前-人名
シベリアオオハシシギ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シベリアコガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シベリアセンニュウ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シベリアチフチャフ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シベリアムクドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シベリアヨシキリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シベリア出兵	名前-イベント名-催し物名-催し物名_その他
シベリア連邦管区	名前-地名-国内地域名
シボレー・クルーズ	名前-製品名-乗り物名-車名
シマアオジ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シマシャコ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シマベニスズメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シマムシクイ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シミュレーションゲーム	名前-製品名-製品名_その他
シミ・スカイウォーカー	名前-人名
シムカ	名前-組織名-企業名
シメ	名前-人名
シモン・バル＝ヨハイ	名前-人名
シモン・ペレス	名前-人名
シモーネ・ペッロッタ	名前-人名
シモーネ・ペロッタ	名前-人名
シャア・アズナブル	名前-人名
シャイニング	名前-製品名-芸術名-文学名
シャカリキ!	名前-製品名-芸術名-文学名
シャキール・オニール	名前-人名
シャクヤク	名前-自然物名-生物名-植物名
シャコーグレイド	名前-名前_その他
シャブタイ・ツヴィ	名前-人名
シャラント県	名前-地名-GPE-都道府県州名
シャリーア	名前-製品名-規則名
シャルル2世	名前-人名
シャルル2世 (西フランク王)	名前-人名
シャルル4世	名前-人名
シャルル4世 (フランス王)	名前-人名
シャルル5世	名前-人名
シャルル5世 (フランス王)	名前-人名
シャルル8世	名前-人名
シャルル8世 (フランス王)	名前-人名
シャルル・デュトワ	名前-人名
シャルル・デュムラン	名前-人名
シャルル・ドゥ・モンテスキュー	名前-人名
シャルル・ド・ゴール	名前-製品名-乗り物名-船名
シャルル・ド・ゴール (空母)	名前-製品名-乗り物名-船名
シャルンホルスト	名前-人名
シャンバラ	名前-組織名-組織名_その他
シャンバラ	名前-製品名-芸術名-音楽名
シャンマイ	名前-人名
シャーフィイー	名前-人名
シャーマニズム	名前-製品名-主義思想名
シャーマニズム	名前-製品名-宗教名
シャーマンキング	名前-製品名-芸術名-文学名
シャーロック・ホームズ	名前-人名
シャーロック・ホームズシリーズ	名前-製品名-芸術名-文学名
シュタイエルマルク	名前-人名
シュテルン-ゲルラッハの実験	名前-イベント名-イベント名_その他
シュトゥットガルト	名前-地名-GPE-市区町村名
シュトゥルム・ウント・ドラング	名前-製品名-文化名
シュバシコウ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シュムエル・アグノン	名前-人名
シュモクドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シュレック	名前-製品名-キャラクター名
シュロモ・アルカベツ	名前-人名
シュークリーム	名前-製品名-食べ物名
シューマン	名前-人名
シュールレアリズム	名前-製品名-主義思想名
シュールレアリズム	名前-製品名-文化名
ショウドウツバメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ショスタコーヴィチ	名前-人名
ショップジャパン	名前-製品名-芸術名-番組名
ショパン	名前-人名
ショルティ	名前-人名
ショーソン	名前-人名
ショーン・マリオン	名前-人名
シラオネッタイチョウ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シラガサバクヒタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シラガツリスガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シラガホオジロ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シラクサ	名前-地名-GPE-市区町村名
シラコバト	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シラヒゲムシクイ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シラボシガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シリアカヒヨドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シリアセリン	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シリア地方	名前-地名-大陸地域名
シリア戦争	名前-イベント名-戦争名
シルバニアファミリー	名前-製品名-製品名_その他
シロエリハゲワシ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロエリハサミアジサシ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロエリヒタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロカツオドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロカモメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロガオエボシガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロガシラクロサバクヒタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロガシラクロヒヨドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロガシラジョウビタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロガシラトビ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロクロモズ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロチドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロチョウ	名前-自然物名-生物名-動物名-無脊椎動物-昆虫
シロハラアマツバメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラウミツバメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラクイナ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラクロガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラサケイ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラチュウシャクシギ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラトウゾクカモメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラミドリカッコウ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラムクドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロハラメジロ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロビタイガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロビタイジョウビタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロフクロウ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロボシマシコ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シロミミヒヨドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
シンエイ動画	名前-組織名-企業名
シンガーソングライター	名前-職業名
シンザン	名前-名前_その他
シンセサイザー奏者	名前-職業名
シンディ・クロフォード	名前-人名
シンデレラドリーム ミッドナイト☆パーティー	名前-製品名-芸術名-番組名
シント・ニコラス	名前-人名
シン・シッパッデソーン	名前-人名
シースタンマラーチャー	名前-人名
シースタンマラーチャー王	名前-人名
シードル	名前-製品名-食べ物名
シーン・モーリー	名前-人名
ジウジアーロ	名前-人名
ジェイアール四国バス	名前-組織名-企業名
ジェイアール新潟ビジネス	名前-組織名-企業名
ジェイク・シマブクロ	名前-人名
ジェイコム関東	名前-組織名-企業名
ジェイダ・ピンケット＝スミス	名前-人名
ジェイムス・テイラー	名前-人名
ジェイムズ・ブリッシュ	名前-人名
ジェイ・アール北海道バス	名前-組織名-企業名
ジェイ・バス	名前-組織名-企業名
ジェダイ	名前-組織名-組織名_その他
ジェニファー・コネリー	名前-人名
ジェニファー・ロペス	名前-人名
ジェノヴァ	名前-地名-GPE-市区町村名
ジェフユナイテッド市原・千葉	名前-組織名-競技グループ名
ジェフリー・ユージェニデス	名前-人名
ジェフ・バーグランド	名前-人名
ジェフ・ブリッジス	名前-人名
ジェフ・ホーナセック	名前-人名
ジェブ・ブッシュ	名前-人名
ジェマ・ワード	名前-人名
ジェラール・ウリエ	名前-人名
ジェリー・ブラッカイマー	名前-人名
ジェリー・モス	名前-人名
ジェレミ・ベンサム	名前-人名
ジェーシービー	名前-組織名-企業名
ジェーソン・キッド	名前-人名
ジェームス・スチュアート	名前-人名
ジェームス・スミス	名前-人名
ジェームズ4世	名前-人名
ジェームズ・M・ブキャナン	名前-人名
ジェームズ・ウッズ	名前-人名
ジェームズ・キャメロン	名前-人名
ジェームズ・クラーク・マクスウェル	名前-人名
ジェームズ・ジョイス	名前-人名
ジェームズ・フランシス・エドワード・ステュアート	名前-人名
ジェームズ・フレイザー	名前-人名
ジェームズ・ブキャナン	名前-人名
ジェームズ・ブライス	名前-人名
ジェームズ・ブラッドリー	名前-人名
ジェームズ・ブリッシュ	名前-人名
ジェームズ・ホーナー	名前-人名
ジェームズ・モリアーティー	名前-人名
ジェームズ・レヴァイン	名前-人名
ジェームズ・ワトソン	名前-人名
ジェーン・アダムズ	名前-人名
ジェーン・カンピオン	名前-人名
ジェーン・フォンダ	名前-人名
ジオン訛り	名前-製品名-言語名
ジギスムント	名前-人名
ジギー・スターダスト	名前-製品名-芸術名-音楽名
ジズヤ	名前-製品名-方式制度名
ジゼル・ブンチェン	名前-人名
ジヌー温泉	名前-地名-地形名-河川湖沼名
ジヒドロテストステロン	名前-自然物名-生物名-生物名_その他
ジプシー	名前-組織名-民族名
ジミー大西	名前-人名
ジム・ジャクソン	名前-人名
ジム・ジャームッシュ	名前-人名
ジム・ロスカトフ	名前-人名
ジャアファル・サーディク	名前-人名
ジャイアニズム	名前-製品名-主義思想名
ジャイアン	名前-人名
ジャイアントロボ THE ANIMATION -地球が静止する日	名前-製品名-製品名_その他
ジャイアン・リサイタル	名前-イベント名-催し物名-催し物名_その他
ジャイ子	名前-人名
ジャコモ・プッチーニ	名前-人名
ジャスパー・ジョーンズ	名前-人名
ジャスミン茶	名前-製品名-食べ物名
ジャッキー・スチュワート	名前-人名
ジャック・スマイト	名前-人名
ジャック・スレード	名前-人名
ジャック・デリダ	名前-人名
ジャック・ネッケル	名前-人名
ジャック・ピエール・ブリッソー	名前-人名
ジャック・ベッケル	名前-人名
ジャック・ルビー	名前-人名
ジャック・ヴァンス	名前-人名
ジャップ	名前-組織名-国籍名
ジャネット・エバンス	名前-人名
ジャネット・ジャクソン	名前-人名
ジャネット・ランキン	名前-人名
ジャパネットたかた	名前-組織名-企業名
ジャパンエナジー	名前-組織名-組織名_その他
ジャパンエフエムネットワーク	名前-組織名-企業名
ジャパンカップ	名前-イベント名-催し物名-大会名
ジャパンカップダート	名前-イベント名-催し物名-大会名
ジャパンカップダート	名前-製品名-競技名
ジャブロー	名前-地名-地名_その他
ジャム	名前-製品名-食べ物名
ジャン1世	名前-人名
ジャン1世 (フランス王)	名前-人名
ジャンク船	名前-製品名-乗り物名-船名
ジャングルポケット	名前-名前_その他
ジャンム・カシミール州	名前-地名-GPE-都道府県州名
ジャン・アンリ・ファーブル	名前-人名
ジャン・フランソワ・リオタール	名前-人名
ジャン・フレネル	名前-人名
ジャン・ボダン	名前-人名
ジャン・マルティノン	名前-人名
ジャン・リュック・ナンシー	名前-人名
ジャン・ルノワール	名前-人名
ジャン＝ジャック・ルソー	名前-人名
ジャン＝ポール・サルトル	名前-人名
ジャン＝リュック・ゴダール	名前-人名
ジャーナリスト	名前-職業名
ジュネーヴ	名前-地名-GPE-市区町村名
ジュノー	名前-名前_その他
ジュノー	名前-地名-天体名-惑星名
ジュノー	名前-神名
ジュノー (小惑星)	名前-名前_その他
ジュピター (ミサイル)	名前-製品名-武器名
ジュピターC	名前-製品名-武器名
ジュブナイル	名前-製品名-芸術名-文学名
ジュブナイル	名前-製品名-芸術名-映画名
ジュリアス・ストーン	名前-人名
ジュリアン・ベイリー	名前-人名
ジュリアード弦楽四重奏団	名前-組織名-組織名_その他
ジュンガル	名前-組織名-民族名
ジュンブラナ県	名前-地名-GPE-都道府県州名
ジュース	名前-人名
ジュース	名前-製品名-食べ物名
ジュール	名前-単位名-単位名_その他
ジュール・ヴェルヌ	名前-人名
ジューンブライド	名前-製品名-芸術名-番組名
ジューンブライド	名前-製品名-芸術名-音楽名
ジョアン1世	名前-人名
ジョエル・シルバー	名前-人名
ジョシュア・ウィラード・ギブズ	名前-人名
ジョシュ・ハートネット	名前-人名
ジョジョの奇妙な冒険	名前-製品名-芸術名-文学名
ジョセフ・B・キーナン	名前-人名
ジョセフ・ストーリ	名前-人名
ジョセフ・スミス・ジュニア	名前-人名
ジョセフ・ラインウェーバー	名前-人名
ジョセフ・ロージー	名前-人名
ジョゼフ・フーシェ	名前-人名
ジョチ・ウルス	名前-組織名-政府組織名
ジョディ・ヘンリー	名前-人名
ジョナサン・スウィフト	名前-人名
ジョナサン・ゼビナ	名前-人名
ジョナサン・ラーソン	名前-人名
ジョニー・デップ	名前-人名
ジョルジェット・ジュジャーロ	名前-人名
ジョルジュ・エネスコ	名前-人名
ジョルジュ・ビゼー	名前-人名
ジョルジュ・ブラック	名前-人名
ジョンソン	名前-人名
ジョン・B・コナリー	名前-人名
ジョン・C・ライリー	名前-人名
ジョン・D・ロックフェラー	名前-人名
ジョン・D・ロックフェラー・ジュニア	名前-人名
ジョン・F・ケネディ	名前-人名
ジョン・H・ワトスン	名前-人名
ジョン・K・ガルブレイス	名前-人名
ジョン・アンダーソン	名前-人名
ジョン・アーバスノット・フィッシャー	名前-人名
ジョン・ウィリアムズ	名前-人名
ジョン・ウィリアムズ (作曲家)	名前-人名
ジョン・エドガー・フーヴァー	名前-人名
ジョン・カサヴェテス	名前-人名
ジョン・キューザック	名前-人名
ジョン・クーチ・アダムズ	名前-人名
ジョン・コナリー	名前-人名
ジョン・サーティース	名前-人名
ジョン・スタージェス	名前-人名
ジョン・デューイ	名前-人名
ジョン・トンプソン	名前-人名
ジョン・ドルトン	名前-人名
ジョン・ハブリチェク	名前-人名
ジョン・バルビローリ	名前-人名
ジョン・フィールド	名前-人名
ジョン・フォード	名前-人名
ジョン・フラムスティード	名前-人名
ジョン・フランケンハイマー	名前-人名
ジョン・フロスト	名前-人名
ジョン・ベルーシ	名前-人名
ジョン・ボウルビィ	名前-人名
ジョン・ミルトン	名前-人名
ジョン・メイナード・ケインズ	名前-人名
ジョン・ランディス	名前-人名
ジョン・レノン	名前-人名
ジョン・ロック	名前-人名
ジョン万次郎	名前-人名
ジョ・ジョ・ホワイト	名前-人名
ジョージア大学	名前-施設名-GOE-学校名
ジョージ・W・ブッシュ	名前-人名
ジョージ・ウォーカー・ブッシュ	名前-人名
ジョージ・ガブリエル・ストークス	名前-人名
ジョージ・ガーシュウィン	名前-人名
ジョージ・フォアマン	名前-人名
ジョージ・ヘルマス	名前-人名
ジョージ六世戴冠記念観艦式	名前-イベント名-催し物名-催し物名_その他
ジョー・コッカー	名前-人名
ジョー・ジャクソン	名前-人名
ジョー・フレージャー	名前-人名
ジョー・プロスキ	名前-人名
ジョー・ペシ	名前-人名
ジルヴェスター・ヨルダン	名前-人名
ジル・ドゥルーズ	名前-人名
ジークムント・フロイト	名前-人名
ジーザス	名前-製品名-芸術名-公演名
ジーザス	名前-製品名-芸術名-文学名
ジーザス	名前-製品名-芸術名-映画名
ジーザス	名前-製品名-製品名_その他
ジーンズ	名前-製品名-衣服名
ジーン・クラーク	名前-人名
スイツキコウモリ科	名前-自然物名-生物名-動物名-脊椎動物-哺乳類
スウィングガールズ	名前-製品名-芸術名-映画名
スウェーデン社会民主労働党	名前-組織名-政党名
スエズ危機	名前-イベント名-イベント名_その他
スエトニウス	名前-人名
スカイボルト	名前-製品名-武器名
スカイボルト (ミサイル)	名前-製品名-武器名
スカイ・A	名前-製品名-製品名_その他
スカシユリ	名前-自然物名-生物名-植物名
スカッドレース	名前-製品名-製品名_その他
スカディ	名前-神名
スカンデルベク	名前-人名
スキージャンプ	名前-製品名-競技名
スギ	名前-自然物名-生物名-植物名
スクウェアエニックス	名前-組織名-企業名
スクウェア・エニックス	名前-組織名-企業名
スクライド	名前-製品名-芸術名-番組名
スクラップド・プリンセス	名前-製品名-芸術名-文学名
スクランブル	名前-製品名-芸術名-音楽名
スクランブル	名前-製品名-製品名_その他
スクリューボール・コメディ	名前-製品名-芸術名-映画名
スクレ市	名前-地名-GPE-市区町村名
スクレ市 (ベネズエラ)	名前-地名-GPE-市区町村名
スクール☆ウォーズ	名前-製品名-芸術名-番組名
スクールカウンセラー	名前-職業名
スケバン刑事	名前-製品名-芸術名-文学名
スケバン刑事	名前-製品名-芸術名-番組名
スケバン刑事II	名前-製品名-芸術名-番組名
スケルツォ	名前-製品名-芸術名-音楽名
スゲヨシキリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スコアラー	名前-職業名
スザンヌ・ヴェガ	名前-人名
スジカブリヤブチメドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ススイロガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ススケカモメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズの兵隊	名前-製品名-製品名_その他
スズガモ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズキ (自動車メーカー)	名前-組織名-企業名
スズキ・アルトラパン	名前-製品名-乗り物名-車名
スズキ・キャラ	名前-製品名-乗り物名-車名
スズメ上科	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズメ上科 (Sibley)	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズメ亜目	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズメ亜目 (Sibley)	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズメ小目	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズメ小目 (Sibley)	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズメ目	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スズメ目 (Sibley)	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スタインウェイ	名前-組織名-企業名
スタウラキオス	名前-人名
スタジオヴェルト	名前-組織名-企業名
スタジオ・ミュージシャン	名前-職業名
スタディオ・オリンピコ	名前-施設名-スポーツ施設名
スタフォードシャー	名前-地名-GPE-都道府県州名
スタントマン	名前-職業名
スタンリー・キューブリック	名前-人名
スター	名前-人名
スター	名前-地名-GPE-市区町村名
スターどっきり（秘）報告	名前-製品名-芸術名-番組名
スターオーシャン	名前-製品名-製品名_その他
スターオーシャン セカンドストーリー	名前-製品名-製品名_その他
スターオーシャンEX	名前-製品名-製品名_その他
スターバックスコーヒー	名前-組織名-企業名
スターライト・エクスプレス	名前-製品名-芸術名-公演名
スターリニズム	名前-製品名-主義思想名
スターリン	名前-人名
スターリング・モス	名前-人名
スタール夫人	名前-人名
スター・ウォーズ エピソード1/ファントム・メナス	名前-製品名-芸術名-映画名
スター・ウォーズ エピソード3/シスの復讐	名前-製品名-芸術名-映画名
スター・ウォーズ エピソード6/ジェダイの帰還	名前-製品名-芸術名-映画名
スター・ウォーズ/ジェダイの復讐	名前-製品名-芸術名-映画名
スター爆笑Q&A	名前-製品名-芸術名-番組名
スター爆笑Q&amp;A	名前-製品名-芸術名-番組名
スティックス	名前-組織名-組織名_その他
スティーブン・ハンター	名前-人名
スティーブ・ナッシュ	名前-人名
スティーヴン・E・ランズバーグ	名前-人名
スティーヴン・スピルバーグ	名前-人名
スティーヴン・ホーキング	名前-人名
スティーヴ・ハウ	名前-人名
ステディカム	名前-製品名-製品名_その他
ステフォン・マーバリー	名前-人名
ステーションファイナンス	名前-組織名-企業名
ステージチャンプ	名前-名前_その他
ステーヴン・リード	名前-人名
ストアードフェアシステム	名前-製品名-方式制度名
ストックカー	名前-製品名-競技名
ストラトス・フォー	名前-製品名-芸術名-番組名
ストラトス・フォー	名前-製品名-芸術名-芸術名_その他
ストラヴィンスキー	名前-人名
ストリートスライダース	名前-組織名-組織名_その他
ストリートファイター	名前-製品名-製品名_その他
ストリートファイター (ゲーム)	名前-製品名-製品名_その他
ストリートファイターII	名前-製品名-製品名_その他
ストリートファイターIII	名前-製品名-製品名_その他
ストリートファイターZERO	名前-製品名-製品名_その他
ストルイピン	名前-人名
ストーカー	名前-製品名-芸術名-映画名
スナイロヤブチメドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スナシャコ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スナチムシクイ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スナバシリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スナヒバリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スニッカーズ	名前-製品名-食べ物名
スヌーピー	名前-製品名-キャラクター名
スネルの法則	名前-製品名-理論名
スネ夫	名前-人名
スパイダーマンJ	名前-製品名-芸術名-文学名
スパイ・ゾルゲ	名前-製品名-芸術名-映画名
スパイ大作戦	名前-製品名-芸術名-番組名
スパルタクスの反乱	名前-イベント名-イベント名_その他
スピードスケート	名前-製品名-競技名
スフレ	名前-人名
スプラッター映画	名前-製品名-芸術名-映画名
スプリングステークス	名前-イベント名-催し物名-大会名
スプリンターズステークス	名前-イベント名-催し物名-大会名
スプートニク	名前-製品名-乗り物名-宇宙船名
スプートニク1号	名前-製品名-乗り物名-宇宙船名
スヘルトーヘンボス（デン・ボッシュ）	名前-地名-GPE-市区町村名
スペインスズメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スペイン内戦	名前-イベント名-戦争名
スペイン風邪	名前-病気名
スペクタクル映画	名前-製品名-芸術名-映画名
スペンサー	名前-人名
スペースシャワーTV	名前-製品名-製品名_その他
スポルティーフ	名前-製品名-製品名_その他
スポンジケーキ	名前-製品名-食べ物名
スポーツMAX	名前-製品名-芸術名-番組名
スポーツWAVE	名前-製品名-芸術名-番組名
スポーツうるぐす	名前-製品名-芸術名-番組名
スポーツドリンク	名前-製品名-食べ物名
スポーツ・アイ ESPN	名前-製品名-製品名_その他
スポーツ振興くじ	名前-製品名-製品名_その他
スマイリーキクチ	名前-人名
スマートメディア	名前-製品名-製品名_その他
スミソニアン博物館	名前-施設名-GOE-美術博物館名
スミレスナバシリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スメタナ	名前-人名
スモールソルジャーズ	名前-製品名-芸術名-文学名
スライダー	名前-製品名-製品名_その他
スラップスティック・コメディ映画	名前-製品名-芸術名-映画名
スラヴ人	名前-組織名-民族名
スリナム共和国	名前-地名-GPE-国名
スリラー映画	名前-製品名-芸術名-映画名
スリーピー・ホロウ	名前-製品名-芸術名-映画名
スルターン	名前-称号名-地位名
スワジランド	名前-地名-GPE-国名
スワンプ・ロック	名前-製品名-芸術名-音楽名
スンバミフウズラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
スヴェルドロフスク州	名前-地名-GPE-都道府県州名
スヴェン・ゴラン・エリクソン	名前-人名
スーザ	名前-地名-GPE-市区町村名
スーパーGT	名前-イベント名-催し物名-大会名
スーパーギャング	名前-製品名-芸術名-番組名
スーパークイズスペシャル	名前-製品名-芸術名-番組名
スーパーサッカー	名前-製品名-芸術名-番組名
スーパーテレビ情報最前線	名前-製品名-芸術名-番組名
スーパーマリオ	名前-製品名-製品名_その他
スーパーマリオブラザーズ	名前-製品名-製品名_その他
スーパーモデル	名前-職業名
スーパーロボット大戦	名前-製品名-製品名_その他
スープーマン	名前-製品名-芸術名-文学名
スームビング号	名前-製品名-乗り物名-船名
スーラ	名前-人名
スーリヤヴァルマン2世	名前-人名
ズアオアトリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズアオカモメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズアオホオジロ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズアカサンショクツバメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズアカモズ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズィア	名前-組織名-民族名
ズウォレ	名前-地名-GPE-市区町村名
ズキンハゲワシ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズキンミズナギドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロアオサギ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロゲリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロサバクヒタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロスズメヒバリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロチャキンチョウ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロツリスガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロミズナギドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロムクドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズグロムシクイ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
ズゴック	名前-製品名-武器名
ズデニェク・フィビフ	名前-人名
ズニ	名前-組織名-民族名
ズボン	名前-製品名-衣服名
ズームイン!!SUPER	名前-製品名-芸術名-番組名
ズームイン!!サタデー	名前-製品名-芸術名-番組名
ズームイン!!朝!	名前-製品名-芸術名-番組名
セアカジョウビタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セアカミフウズラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セアカモズ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セイ!ヤング	名前-製品名-芸術名-番組名
セイ!ヤング21	名前-製品名-芸術名-番組名
セイケイ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セイタカアワダチソウ	名前-自然物名-生物名-植物名
セイタカシギ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セイレーン	名前-製品名-キャラクター名
セイ・エニシング	名前-製品名-芸術名-映画名
セウィルス	名前-人名
セウタ	名前-地名-GPE-GPE_その他
セオドア・ドライサー	名前-人名
セガラリーチャンピオンシップ	名前-製品名-製品名_その他
セガ・マークIII	名前-製品名-製品名_その他
セグロアジサシ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セグロカモメ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セグロサバクヒタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セグロミズナギドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セシル・レディー	名前-人名
セジロクロガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セジロサバクヒタキ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セジロタヒバリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セスジハウチワドリ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セダン	名前-製品名-乗り物名-車名
セッカ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セドリック・マクスウェル	名前-人名
セネガルサケイ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セネガルバンケン	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セファルディム	名前-組織名-民族名
セプティミウス・セウェルス	名前-人名
セボシカンムリガラ	名前-自然物名-生物名-動物名-脊椎動物-鳥類
セリ	名前-自然物名-生物名-植物名
セリム3世	名前-人名
セル	名前-単位名-単位名_その他
セル	名前-製品名-芸術名-映画名
セル	名前-製品名-製品名_その他
セルゲイ・ブブカ	名前-人名
セルゲイ・プロコフィエフ	名前-人名
セルゲイ・ラフマニノフ	名前-人名
セルジ	名前-人名
セルジオ・メンデス	名前-人名
セルジューク朝	名前-組織名-政府組織名
セルビア・モンテネグロ	名前-地名-GPE-国名
セルビア人	名前-組織名-国籍名
セレウコス朝	名前-組織名-政府組織名
セレスティン・フレネ	名前-人名
セレナード	名前-製品名-芸術名-音楽名
センダスト	名前-自然物名-物質名
センダン	名前-自然物名-生物名-植物名
センチメンタルバス	名前-組織名-組織名_その他
セントジョージ岬沖海戦	名前-イベント名-戦争名
セントラル子供タレント	名前-組織名-企業名
セントルイス	名前-地名-GPE-市区町村名
セントルイスワシントン大学	名前-施設名-GOE-学校名
